#Obh2   Om    Ol     w0     wa   ns     As     si8    h

0.0227 0.088 0.912 -1.210 0.000 0.960 2.41e-09 0.934 0.700
0.0227 0.290 0.710 -1.465 0.000 0.960 2.41e-09 0.765 0.700
0.0227 0.386 0.614 -3.230 0.000 0.960 2.41e-09 1.500 0.700
0.0227 0.309 0.691 -3.335 0.000 0.960 2.41e-09 1.217 0.700
0.0227 0.885 0.115 -0.605 0.000 0.960 2.41e-09 0.439 0.700
0.0227 0.789 0.211 -2.275 0.000 0.960 2.41e-09 0.156 0.700
0.0227 0.626 0.374 -2.625 0.000 0.960 2.41e-09 0.976 0.700
0.0227 0.981 0.019 -2.070 0.000 0.960 2.41e-09 1.048 0.700
0.0227 0.462 0.538 -2.170 0.000 0.960 2.41e-09 0.114 0.700
0.0227 0.146 0.854 -3.635 0.000 0.960 2.41e-09 0.313 0.700
0.0227 0.549 0.451 -4.295 0.000 0.960 2.41e-09 1.146 0.700
0.0227 1.000 0.000 -2.375 0.000 0.960 2.41e-09 0.708 0.700
0.0227 0.357 0.643 -0.505 0.000 0.960 2.41e-09 1.345 0.700
0.0227 0.703 0.297 -3.435 0.000 0.960 2.41e-09 0.425 0.700
0.0227 0.731 0.269 -4.745 0.000 0.960 2.41e-09 1.203 0.700
0.0227 0.856 0.144 -1.970 0.000 0.960 2.41e-09 1.415 0.700
0.0227 0.539 0.461 -3.030 0.000 0.960 2.41e-09 1.287 0.700
0.0227 0.962 0.038 -3.585 0.000 0.960 2.41e-09 0.510 0.700
0.0227 0.607 0.393 -2.780 0.000 0.960 2.41e-09 0.185 0.700
0.0227 0.942 0.058 -3.990 0.000 0.960 2.41e-09 0.835 0.700
0.0227 0.664 0.336 -3.940 0.000 0.960 2.41e-09 0.793 0.700
0.0227 0.511 0.489 -3.890 0.000 0.960 2.41e-09 0.538 0.700
0.0227 0.319 0.681 -0.355 0.000 0.960 2.41e-09 0.552 0.700
0.0227 0.482 0.518 -0.405 0.000 0.960 2.41e-09 0.297 0.700
0.0227 0.827 0.173 -1.265 0.000 0.960 2.41e-09 0.213 0.700
0.0227 0.770 0.230 -1.870 0.000 0.960 2.41e-09 1.132 0.700
0.0227 0.127 0.873 -3.685 0.000 0.960 2.41e-09 1.303 0.700
0.0227 0.991 0.009 -3.180 0.000 0.960 2.41e-09 1.020 0.700
0.0227 0.069 0.931 -1.615 0.000 0.960 2.41e-09 0.566 0.700
0.0227 0.588 0.412 -1.160 0.000 0.960 2.41e-09 0.496 0.700
0.0227 0.174 0.826 -2.675 0.000 0.960 2.41e-09 1.401 0.700
0.0227 0.376 0.624 -1.565 0.000 0.960 2.41e-09 0.454 0.700
0.0227 0.396 0.604 -4.900 0.000 0.960 2.41e-09 0.737 0.700
0.0227 0.578 0.422 -3.840 0.000 0.960 2.41e-09 0.128 0.700
0.0227 0.155 0.845 -0.705 0.000 0.960 2.41e-09 1.231 0.700
0.0227 0.952 0.048 -2.575 0.000 0.960 2.41e-09 0.355 0.700
0.0227 0.558 0.442 -0.860 0.000 0.960 2.41e-09 1.331 0.700
0.0227 0.204 0.796 -2.475 0.000 0.960 2.41e-09 0.666 0.700
0.0227 0.741 0.259 -0.150 0.000 0.960 2.41e-09 1.118 0.700
0.0227 0.799 0.201 -4.345 0.000 0.960 2.41e-09 0.255 0.700
0.0227 0.261 0.739 -1.415 0.000 0.960 2.41e-09 1.429 0.700
0.0227 0.472 0.528 -2.525 0.000 0.960 2.41e-09 0.680 0.700
0.0227 0.108 0.892 -4.190 0.000 0.960 2.41e-09 0.580 0.700
0.0227 0.194 0.806 -0.555 0.000 0.960 2.41e-09 0.341 0.700
0.0227 0.645 0.355 -1.715 0.000 0.960 2.41e-09 1.458 0.700
0.0227 0.453 0.547 -3.535 0.000 0.960 2.41e-09 0.906 0.700
0.0227 0.347 0.653 -1.010 0.000 0.960 2.41e-09 0.171 0.700
0.0227 0.424 0.576 -0.100 0.000 0.960 2.41e-09 0.878 0.700
0.0227 0.242 0.758 -2.325 0.000 0.960 2.41e-09 0.241 0.700
0.0227 0.914 0.086 -4.240 0.000 0.960 2.41e-09 1.175 0.700
